School,WLper,SOS,Pace,ORtg,FTr,3PAr,Tsper,TRBper,ASTper,STLper,BLKper,eFGper,TOVper,ORBper,FTperFGA,oPace,oORtg,oFTr,o3PAr,oTSper,oTRBper,oASTper,oSTLper,oBLKper,oeFGper,oTOVper,oORBper,oFTperFGA,Year
Abilene Christian,0.694,-2.09,71.9,105.3,0.382,0.358,0.541,48.2,56.9,14.9,6.3,0.495,15.1,29.1,0.288,71.9,92.7,0.485,0.405,0.555,51.8,51.5,7.6,9.4,0.507,25.6,29.6,0.351,2021-22
Air Force,0.379,1.33,63.4,93.1,0.268,0.435,0.528,44.6,57.7,8.6,9.1,0.509,19.6,19.6,0.174,63.4,104.1,0.389,0.333,0.559,55.4,47.4,8.5,11.9,0.515,17.9,29.4,0.296,2021-22
Akron NCAA,0.706,-3.93,64.1,109.8,0.39,0.416,0.563,53,47.9,9.1,9.2,0.533,15.4,30.6,0.268,64.1,97.3,0.258,0.354,0.511,47,41,8.5,7.3,0.482,16.1,25.7,0.183,2021-22
Alabama NCAA,0.576,11.59,73.2,108.1,0.329,0.476,0.547,52.3,53.1,9.6,11.9,0.513,16.7,35.3,0.239,73.2,104,0.348,0.357,0.534,47.7,46.3,10.6,11.3,0.498,15.5,30.5,0.249,2021-22
Alabama A&M,0.4,-8.86,68.3,88.5,0.335,0.249,0.459,48.8,43.4,10.1,8.8,0.412,16.8,28.7,0.239,68.3,96.5,0.286,0.389,0.494,51.2,56.4,10.8,6.6,0.463,16.7,30.9,0.196,2021-22
Alabama State,0.323,-5.45,71.4,96.7,0.378,0.33,0.52,48.3,49.7,10.5,9.6,0.481,18.7,29.7,0.264,71.4,104.4,0.339,0.377,0.539,51.7,53.6,10.7,10.2,0.503,16.8,33.1,0.245,2021-22
Albany (NY),0.419,-5.77,65.8,93.6,0.25,0.323,0.492,48.4,40.9,10.2,7.5,0.462,16.4,26.1,0.176,65.8,99.7,0.318,0.386,0.541,51.6,53.9,8,11.5,0.507,18.3,27.2,0.23,2021-22
Alcorn State,0.5,-4.12,69,95.8,0.324,0.292,0.494,51.1,43.1,10.7,7.6,0.458,17.3,31.9,0.224,69,102.3,0.367,0.357,0.544,48.9,55.8,9.9,9.8,0.507,16.8,27.8,0.263,2021-22
American,0.313,-7.91,66.8,94.2,0.256,0.28,0.521,48.1,49.9,9.7,8.3,0.496,18,21.6,0.177,66.8,105.3,0.289,0.342,0.556,51.9,51,10,8.2,0.533,15.2,24.8,0.2,2021-22
Appalachian State,0.559,-1.45,65.5,102,0.273,0.43,0.513,50.4,51.9,8.5,7.1,0.49,13.6,27.3,0.18,65.5,96,0.212,0.381,0.507,49.6,55.6,7.9,9.4,0.478,16.1,25,0.16,2021-22
Arizona NCAA,0.892,6.84,72.7,114.7,0.349,0.359,0.587,55,65,9.2,13.4,0.556,15.8,34.6,0.258,72.7,92.9,0.24,0.347,0.471,45,47.2,9.5,7.4,0.444,15,28.6,0.162,2021-22
Arizona State,0.452,9.48,67.9,94.7,0.212,0.372,0.492,47.2,53.4,9.7,12.4,0.471,15.2,24.9,0.14,67.9,97.4,0.323,0.41,0.503,52.8,57.4,8.9,8.2,0.463,16.8,30.3,0.233,2021-22
Arkansas NCAA,0.757,8.62,72,104.8,0.372,0.342,0.533,52,52.7,10.5,11.7,0.486,14.6,29.5,0.282,72,94.3,0.319,0.388,0.514,48,52.7,9.1,8.7,0.475,18.3,25.1,0.233,2021-22
Arkansas State,0.621,-3.5,69.5,101.5,0.332,0.306,0.537,51.5,60.7,11.3,8.5,0.498,17.4,29.8,0.247,69.5,97.5,0.293,0.332,0.514,48.5,47.4,10.2,8.1,0.483,17.2,28,0.205,2021-22
Arkansas-Pine Bluff,0.226,-4.58,69.3,95.3,0.345,0.407,0.51,43.8,50.1,10.3,6.4,0.47,16.8,24.6,0.247,69.3,112.5,0.332,0.309,0.58,56.2,53.9,10.8,10.4,0.55,16.5,34.8,0.242,2021-22
