School,WLper,SOS,Pace,ORtg,FTr,3PAr,Tsper,TRBper,ASTper,STLper,BLKper,eFGper,TOVper,ORBper,FTperFGA,oPace,oORtg,oFTr,o3PAr,oTsper,oTRBper,oASTper,oSTLper,oBLKper,oeFGper,oTOVper,oORBper,oFTperFGA,Year
Abilene Christian,0.571,-2.87,71.6,108.3,0.291,0.366,0.567,52.1,59.3,13.3,9,0.547,17.5,32,0.196,71.6,90.7,0.421,0.342,0.536,47.9,52.6,9.1,7.5,0.489,23.5,25.4,0.31,2022-2023
Air Force,0.643,-5.25,64.2,106.5,0.378,0.471,0.586,49,66.5,10.8,13.8,0.559,17.6,23.4,0.265,64.2,95.9,0.346,0.346,0.495,51,41.7,8.8,9.2,0.454,16.2,29.2,0.247,2022-2023
Akron,0.583,0.84,66.2,101.9,0.312,0.442,0.516,52.9,53.3,10.5,6.3,0.488,15.5,31.3,0.21,66.2,94.1,0.199,0.335,0.501,47.1,52.1,9.6,10.9,0.48,16.8,24.8,0.135,2022-2023
Alabama,0.846,8.36,74.4,107.8,0.405,0.469,0.557,56.3,56.4,7.5,12.3,0.52,18.6,36.3,0.289,74.4,92.8,0.32,0.297,0.471,43.7,42.9,10.7,11.3,0.432,14,25.9,0.221,2022-2023
Alabama A&M,0.308,1.04,71.5,99.4,0.256,0.327,0.53,44.8,52.6,12.3,11,0.507,17.9,28,0.176,71.5,106.2,0.363,0.452,0.556,55.2,55.4,10.2,8.3,0.531,19.4,38.4,0.24,2022-2023
Alabama State,0.154,2.32,71.2,88.8,0.267,0.29,0.44,47.7,45.8,7.5,7.6,0.404,14.8,30.6,0.183,71.2,113,0.348,0.367,0.57,52.3,55.6,9.4,15.8,0.548,14.2,31.6,0.232,2022-2023
Albany (NY),0.333,-1.51,68.9,96.5,0.324,0.422,0.507,49.2,51.4,8.7,5.7,0.474,17.5,29.7,0.222,68.9,107.7,0.42,0.287,0.57,50.8,51.4,9.8,11.2,0.542,16.7,28.4,0.284,2022-2023
Alcorn State,0.25,4.56,67,87.6,0.305,0.283,0.439,47.2,39.5,11.4,7,0.4,16.5,33.7,0.205,67,109.2,0.451,0.429,0.568,52.8,62.3,7.8,10.9,0.535,17.9,36.2,0.308,2022-2023
American,0.727,-6.88,63.4,107.6,0.279,0.397,0.589,50.8,57.6,11.8,9.4,0.566,18.6,27.2,0.203,63.4,100.4,0.352,0.35,0.525,49.2,45.7,11.8,6.5,0.492,16.4,28.3,0.242,2022-2023
Appalachian State,0.5,-0.13,70.7,106.1,0.297,0.407,0.554,50.4,50.4,10.6,13.4,0.529,14.7,24.5,0.207,70.7,90.6,0.243,0.396,0.488,49.6,52.9,9.1,4.8,0.46,18.2,25.6,0.17,2022-2023
Arizona,0.923,6.07,76.1,118.6,0.419,0.366,0.629,57.2,65.2,8.1,9.8,0.6,16.8,32.9,0.307,76.1,97,0.254,0.382,0.498,42.8,48.7,11.4,6.7,0.473,14.4,24.6,0.171,2022-2023
Arizona State,0.846,2.53,69.9,103.1,0.377,0.395,0.521,51.2,59.1,10,13.9,0.486,15.2,31.6,0.256,69.9,90.8,0.326,0.384,0.461,48.8,56.1,9.4,9.7,0.426,16.8,30.9,0.214,2022-2023
Arkansas,0.846,2.84,72,106.8,0.379,0.275,0.561,53.1,48.9,14.4,13.2,0.526,15.3,28.3,0.271,72,84.9,0.32,0.327,0.492,46.9,42.6,8.1,5.2,0.457,22.3,23.1,0.219,2022-2023
Arkansas State,0.643,-6.92,65.6,104.1,0.315,0.323,0.535,52.6,59.4,11.8,10.5,0.514,16.2,31.9,0.203,65.6,97.3,0.348,0.354,0.519,47.4,53,8.9,9.1,0.479,17.9,27.3,0.252,2022-2023
Arkansas-Pine Bluff,0.308,8.77,72.4,88.5,0.222,0.395,0.473,48.4,56.8,11.6,9.5,0.447,18.7,27,0.152,72.4,96.2,0.399,0.39,0.538,51.6,63.8,12,10.2,0.499,20.2,26.4,0.283,2022-2023
Army,0.462,-8.1,69.5,107.5,0.309,0.435,0.569,53.6,51.1,6.9,5.9,0.545,16.7,28.7,0.216,69.5,102.4,0.279,0.427,0.533,46.4,52.7,11,7.3,0.501,14.3,23.8,0.207,2022-2023
Auburn,0.846,4.5,69.7,104.3,0.39,0.352,0.527,54,55.7,12.5,17.1,0.494,17,37.5,0.262,69.7,88.6,0.325,0.311,0.465,46,44,11,8.2,0.43,17.8,30.5,0.214,2022-2023
Austin Peay,0.429,0.93,67.8,102,0.299,0.375,0.517,49.9,56,9.8,7.6,0.479,15.8,32.3,0.223,67.8,103.2,0.325,0.341,0.562,50.1,55.2,9.4,7.6,0.534,19.4,29.5,0.229,2022-2023
Ball State,0.692,-3.54,67.6,113.1,0.483,0.344,0.582,52,51.8,9.8,12.1,0.552,16.1,33.1,0.327,67.6,97.4,0.276,0.333,0.5,48,37.8,9,7.9,0.471,16.4,31.1,0.189,2022-2023
Baylor,0.833,2.63,70.5,114.5,0.358,0.463,0.584,54.3,62.6,12.4,9.8,0.555,16.7,36.8,0.257,70.5,92.8,0.353,0.371,0.516,45.7,61.3,11,6.3,0.482,21.1,29,0.239,2022-2023
Bellarmine,0.357,3.12,63.1,106.1,0.255,0.459,0.572,49.2,62.4,9.2,6.1,0.547,16.7,23.7,0.19,63.1,101.9,0.332,0.515,0.55,50.8,66.3,8.8,7.8,0.513,17.9,26.6,0.248,2022-2023
Belmont,0.643,-1.42,68.6,109,0.285,0.434,0.577,45.7,56.2,10.9,8.4,0.555,15.2,24.3,0.199,68.6,103.2,0.316,0.351,0.543,54.3,47.4,8.2,10.8,0.517,18.2,33.6,0.214,2022-2023
Bethune-Cookman,0.308,-2.64,69.7,94.3,0.252,0.259,0.495,47.4,46.9,11.6,9.6,0.463,16.9,28.4,0.182,69.7,109.9,0.306,0.458,0.574,52.6,58.8,10.3,8.8,0.537,16.9,31.8,0.241,2022-2023
Binghamton,0.308,-5.77,69.6,99.9,0.324,0.324,0.527,51.9,41.3,7.1,9.7,0.497,17.9,31.5,0.222,69.6,105.5,0.343,0.36,0.551,48.1,44.1,11.4,9.2,0.513,15.7,27.6,0.257,2022-2023
Boise State,0.714,1.92,67.7,104.4,0.34,0.384,0.54,54.6,45.5,8,8.9,0.504,14.9,28.3,0.246,67.7,87.8,0.288,0.353,0.469,45.4,42.7,8,7.2,0.429,16.2,21.1,0.209,2022-2023
Boston College,0.538,1.37,66.8,94.6,0.298,0.303,0.485,49.3,40.4,10.5,11.9,0.454,15.7,28.4,0.2,66.8,98.4,0.271,0.389,0.528,50.7,48.3,9.8,7.2,0.504,18.1,28,0.184,2022-2023
Boston University,0.538,-5.4,68.6,100.1,0.266,0.396,0.511,49.7,47.5,10.6,7.2,0.477,14.1,26.3,0.198,68.6,96.2,0.371,0.384,0.512,50.3,47.7,8.6,14.2,0.476,17.1,25.3,0.252,2022-2023
Bowling Green State,0.462,-4.9,71.3,106.4,0.31,0.375,0.531,52.1,54.6,8.4,8.6,0.492,13.7,30.1,0.235,71.3,104.3,0.294,0.402,0.543,47.9,50.1,9.1,10.9,0.515,14.6,25.1,0.207,2022-2023
Bradley,0.643,1.61,66.7,102.8,0.269,0.412,0.546,53.6,52,12,12.6,0.525,18,29.9,0.181,66.7,89.5,0.282,0.395,0.491,46.4,52.2,11.3,9.2,0.451,18.8,23.5,0.21,2022-2023
Brigham Young,0.688,3.07,72.8,103.7,0.324,0.447,0.541,55.8,59.5,10.6,13.7,0.512,18.3,33.7,0.225,72.8,93.5,0.368,0.378,0.518,44.2,52.2,11.7,7.2,0.486,18.2,21.5,0.244,2022-2023
